,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_CHGLO,Ipc,Kappa3,PEOE_VSA8,SMR_VSA9,fr_Al_OH_noTert
sample_71,2.428571429,16.36511468,-1.851296363,29.01955001,5.47,6.420821623,0.0,0
sample_72,2.166666667,35.49566247,-1.843038509,20.98630086,4.29,5.880003445,0.0,0
sample_73,1.6,13.86045324,-1.900999284,9.651484454,4.0,0.0,0.0,0
sample_74,0.8,14.01250056,-2.049286529,3.609640474,0.0,0.0,0.0,0
sample_75,1.4,13.74496242,-1.788234799,11.2451125,4.0,0.0,0.0,0
sample_76,2.166666667,16.25089413,-1.975433477,19.80026906,2.212525253,6.606881965,0.0,1
sample_77,1.666666667,16.28087593,-2.110586251,12.16479704,3.96,0.0,0.0,0
sample_78,2.0,16.24998626,-1.949303399,14.83446686,3.96,6.606881965,0.0,1
sample_79,1.333333333,16.26564967,-2.04061755,13.60964047,2.212525253,0.0,0.0,1
sample_8,1.714285714,16.46106371,-1.817032027,35.50960993,5.28,0.0,0.0,0
sample_80,2.166666667,16.24992099,-1.854824491,20.98630086,3.96,6.606881965,0.0,1
sample_81,2.166666667,16.26465424,-1.950574511,14.83446686,3.96,0.0,0.0,1
sample_82,1.666666667,16.26553198,-1.977831472,19.80026906,2.212525253,0.0,0.0,1
sample_83,1.428571429,16.26914524,-2.157245643,26.83874054,2.595675676,5.414990469,0.0,2
sample_84,1.428571429,16.25245081,-1.896187566,35.50960993,5.92,13.21376393,0.0,2
sample_85,1.5,35.49826032,-1.879742844,72.49526583,1.145679012,0.0,0.0,0
sample_86,1.857142857,79.91873092,-1.800258661,47.19725257,1.316124136,4.472719516,0.0,0
sample_87,1.857142857,35.49569066,-1.795552968,47.19725257,1.203610472,5.022633314,0.0,0
sample_88,0.666666667,13.64699316,-1.694261733,34.39946188,0.58239926,0.0,0.0,0
sample_89,1.857142857,16.25462015,-1.819353576,47.19725257,0.92905918,0.0,5.749511833,0
sample_9,2.25,16.12866987,-1.510257885,6.854752972,1.67,6.420821623,0.0,0
sample_90,1.25,16.26017863,-1.88145823,70.79892376,0.904141896,0.0,11.49902367,0
sample_91,1.857142857,14.53191101,-1.832534423,47.19725257,0.92905918,5.687386275,0.0,0
sample_92,2.571428571,14.64112499,-1.817671585,47.19725257,0.999576996,11.89077157,0.0,0
sample_93,1.5,14.23261084,-1.826456268,61.49961227,4.98,12.84164325,12.13844263,0
sample_94,1.5,13.93094948,-1.970042106,34.39946188,0.852214547,0.0,0.0,0
sample_95,1.857142857,16.13789093,-2.047611858,47.19725257,1.29814875,12.84164325,0.0,0
sample_96,1.714285714,16.13687028,-1.800981025,19.09358393,5.41,0.0,0.0,0
sample_97,0.666666667,14.014,-2.052305973,34.39946188,1.0,0.0,0.0,0
sample_98,1.666666667,13.93316279,-1.971871381,13.60964047,2.007379679,0.0,0.0,0
sample_99,0.833333333,13.82480066,-1.875366063,13.60964047,2.007379679,0.0,0.0,0
